,epoch,daz,cc_azi,cc_range,daz_iono,daz_SET,drg_iono_mm,dTECS,drg_SET_mm
87,2017-04-24,-0.0262957,0.02819,0.18155,,-0.0006118518467823506,361.2380666134058,2.6181327110068026e+17,-64.79134006947696
88,2017-05-06,-0.0234898,0.03124,0.11348,,-0.00018722754393467745,184.24586340492925,1.335352407265472e+17,18.931028753149008
89,2017-05-18,-0.0255035,0.03371,0.02916,,0.001607977294721595,89.27420097117164,6.470295558905136e+16,93.4555396241476
90,2017-05-30,-0.025543,0.03682,0.06045,,0.0021915191132944843,68.46157922505719,4.961866330885024e+16,69.60069043854692
91,2017-06-11,-0.0265514,0.02769,0.06896,,0.00045303088610434603,56.9817642420189,4.129847728715837e+16,-88.29792280122491
92,2017-06-23,-0.0275913,0.02947,0.08406,,-0.0014295731673882332,32.215752325216314,2.3348900010199584e+16,-121.32217966001663
93,2017-07-05,-0.0295387,0.03751,0.03236,,-0.001652828653166348,55.85849827287847,4.048437167405459e+16,-7.144767141300822
94,2017-07-17,-0.0267482,0.034,0.01794,,-0.0007057644997911909,186.5764758762578,1.3522439071150598e+17,138.27216228700445
95,2017-07-29,-0.0283268,0.0329,0.00801,,0.00012366720429169664,54.303536736280826,3.93573875492944e+16,99.91497831936697
96,2017-08-10,-0.0237965,0.02711,0.08174,,0.0006837150291435299,55.25373181595637,4.004605716909907e+16,-61.39553447707788
97,2017-08-22,-0.0243426,0.02669,0.08526,,-0.00015755307567443208,118.87644949094235,8.615767543503789e+16,-126.17668775532404
98,2017-09-03,-0.0269109,0.03102,0.14617,,-0.0018003173623706015,216.85477361163805,1.5716908842229267e+17,-39.04086634203392
99,2017-09-15,-0.0256966,0.02935,0.08596,,-0.002561300170930013,290.0700377169633,2.10233063572037e+17,79.79958552442417
100,2017-10-09,-0.0190222,0.02237,0.07934,,-0.0004371686273431381,114.65664802379275,8.309930443923629e+16,-10.625195969672381
101,2017-10-21,-0.0138828,0.01282,0.13484,,-3.1800317305418e-05,148.39865959236457,1.0755438611184134e+17,-103.43586196162718
102,2017-11-02,-0.0176605,0.0136,0.12449,,-0.0006476130365641199,195.82054565341326,1.4192418336993062e+17,-69.39690473522155
103,2017-11-14,-0.0141173,0.00713,0.02517,,-0.0007922601664521093,132.10420216926707,9.574470824830246e+16,18.53667285998271
104,2017-11-26,-0.0165225,0.0068,-0.00931,,-0.0009777927910426805,62.76444504876591,4.548957096656787e+16,100.14792469911936
